countryterritoryCode,Country,tourist_arrival_2018,tourist_departure_2018,perc_diabetes_2019,fempop_2018,male_pop_2018,gdp_capita_2018,sanitation_access_2016,handwashing_access_2017,heathcare_coverage_2017,hops_bedsper1000_2016,doc_per1000_2015,pop_over65_2018,smoking_perc_2016,date,confirm,death,recov
CHE,Switzerland,10362000,15285000,5.7,4294648,4221895,82796.54716,99.89036265,,83,4.7,4.1782,1586054,25.7,2020-04-05,21100,715,6415
CHL,Chile,5723000,3825000,8.6,9500747,9228413,15923.35874,100,,70,2.2,1.0328,2159435,37.8,2020-04-05,4471,34,618
CHN,China,62900000,149720000,9.2,677972245,714757755,9770.847088,83.23517302,,79,4.2,1.7855,152098421,25.6,2020-04-05,81668,3329,76991
CIV,Cote d'Ivoire,1965000,,2.4,12414061,12655168,1715.531332,31.34862262,19.35079694,47,0.4,0.2326,716715,,2020-04-05,261,3,37
CMR,Cameroon,,,6,12608998,12607239,1533.74214,38.84740465,9.402066434,46,1.3,0.0898,688120,,2020-04-05,650,9,17
COD,Congo (Kinshasa),,,,,,,,,,,,,,2020-04-05,154,18,3
COG,Congo (Brazzaville),,,,,,,,,,,,,,2020-04-05,45,5,2
COL,Colombia,3904000,4368000,7.4,25283976,24364709,6667.7907,88.58699402,65.38575811,76,1.5,1.9379,4209239,9,2020-04-05,1485,35,88
CPV,Cabo Verde,710000,,2.4,270899,272868,3635.40685,72.24600082,,69,2.1,0.7694,25064,9.1,2020-04-05,7,1,0
CRI,Costa Rica,3017000,1079000,9.1,2500213,2499228,12027.36588,97.54897669,,77,1.2,1.1497,477439,11.9,2020-04-05,454,2,16
CUB,Cuba,4684000,,9.6,5706808,5631330,8821.818891,92.81145886,85.19820752,83,5.2,7.4794,1721834,35.2,2020-04-05,320,8,15
CUW,Netherlands,,,,,,,,,,,,,,2020-04-05,11,1,5
CYM,United Kingdom,,,,,,,,,,,,,,2020-04-05,35,1,1
CYP,Cyprus,3939000,1446000,9,594288,594977,28159.3017,99.20413372,,78,3.4,2.4993,163156,36.4,2020-04-05,446,9,37
CZE,Czechia,,,,,,,,,,,,,,2020-04-05,4587,67,96
DEU,Germany,38881000,108542000,10.4,42011590,40916332,47603.02763,99.22492593,,83,8.3,4.1383,17797959,30.6,2020-04-05,100123,1584,28700
DJI,Djibouti,,,5.1,454210,504710,3082.543099,62.34721196,,47,1.4,0.2203,43416,13.1,2020-04-05,59,0,9
